City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
59,Orocue,4.7912,-71.3354,90.39,46,87,10.27,CO,2021-12-03 17:31:32
60,Zhigansk,66.7697,123.3711,-41.24,98,80,9.13,RU,2021-12-03 17:31:32
61,Malayal,7.208,121.942,77.88,86,100,6.55,PH,2021-12-03 17:31:33
62,Mataura,-46.1927,168.8643,58.48,100,88,2.51,NZ,2021-12-03 17:31:33
63,Saint-Pierre,-21.3393,55.4781,78.48,78,0,10.36,RE,2021-12-03 17:27:42
64,Busselton,-33.65,115.3333,55.04,68,0,13.31,AU,2021-12-03 17:31:34
65,Chokurdakh,70.6333,147.9167,-18.8,93,100,16.26,RU,2021-12-03 17:31:34
66,Nikolskoye,59.7035,30.7861,22.01,95,100,8.16,RU,2021-12-03 17:27:04
67,Vaini,-21.2,-175.2,73.56,100,40,5.75,TO,2021-12-03 17:31:34
68,Longyearbyen,78.2186,15.6401,33.64,75,40,21.85,SJ,2021-12-03 17:31:35
69,Avera,33.194,-82.5271,75.25,31,4,6.02,US,2021-12-03 17:31:35
70,Saint-Augustin,51.226,-58.6502,38.59,100,100,2.98,CA,2021-12-03 17:31:35
71,Shimoda,34.6667,138.95,47.1,69,0,20.71,JP,2021-12-03 17:31:36
72,Constitucion,-35.3333,-72.4167,63.73,57,9,13.11,CL,2021-12-03 17:31:36
73,Mnogovershinnyy,53.9353,139.9242,-2.63,95,96,6.87,RU,2021-12-03 17:31:37
74,Olafsvik,64.8945,-23.7142,36.32,68,100,7.02,IS,2021-12-03 17:31:37
75,Westport,41.1415,-73.3579,47.8,49,1,3.0,US,2021-12-03 17:28:40
76,Bien Hoa,10.95,106.8167,73.38,78,64,4.54,VN,2021-12-03 17:31:38
77,Mount Isa,-20.7333,139.5,85.77,26,100,5.75,AU,2021-12-03 17:31:16
78,Omboue,-1.5746,9.2618,76.53,93,100,6.04,GA,2021-12-03 17:31:38
79,Namatanai,-3.6667,152.4333,80.64,81,89,5.79,PG,2021-12-03 17:31:38
80,Hamilton,39.1834,-84.5333,57.51,52,1,3.0,US,2021-12-03 17:30:33
81,Codrington,-38.2667,141.9667,53.83,74,96,9.73,AU,2021-12-03 17:31:39
82,Srednekolymsk,67.45,153.6833,-14.89,98,100,15.35,RU,2021-12-03 17:31:39
83,Saskylakh,71.9167,114.0833,-28.16,97,97,7.36,RU,2021-12-03 17:31:39
84,Provideniya,64.3833,-173.3,29.66,98,100,6.49,RU,2021-12-03 17:31:40
85,Barrow,71.2906,-156.7887,-18.38,69,20,23.02,US,2021-12-03 17:31:40
86,Saint Pete Beach,27.7253,-82.7412,75.67,63,1,1.01,US,2021-12-03 17:31:40
87,Laredo,27.5064,-99.5075,82.4,69,1,4.61,US,2021-12-03 17:31:41
88,Arraial Do Cabo,-22.9661,-42.0278,80.56,65,20,16.11,BR,2021-12-03 17:31:41
89,Cabo San Lucas,22.8909,-109.9124,84.51,62,1,4.61,MX,2021-12-03 17:29:57
90,Beringovskiy,63.05,179.3167,26.71,82,70,12.75,RU,2021-12-03 17:32:42
91,Bethel,41.3712,-73.414,45.73,51,1,5.01,US,2021-12-03 17:30:00
92,Kununurra,-15.7667,128.7333,82.38,83,84,8.05,AU,2021-12-03 17:32:42
93,Mackenzie,55.2999,-123.1698,17.82,86,90,9.22,CA,2021-12-03 17:29:44
94,Cape Town,-33.9258,18.4232,67.12,59,20,5.01,ZA,2021-12-03 17:31:14
95,Bredasdorp,-34.5322,20.0403,63.28,67,79,9.51,ZA,2021-12-03 17:32:42
96,Mwanza,-2.5167,32.9,74.37,71,94,6.4,TZ,2021-12-03 17:32:43
97,Ios,36.7333,25.2833,65.37,56,100,17.0,GR,2021-12-03 17:32:43
98,Georgetown,5.4112,100.3354,79.9,85,20,5.99,MY,2021-12-03 17:31:59
99,Sambava,-14.2667,50.1667,77.31,84,1,8.68,MG,2021-12-03 17:32:43
100,Valdivia,-39.8142,-73.2459,66.29,37,1,5.23,CL,2021-12-03 17:32:44
101,Cherskiy,68.75,161.3,-9.42,97,100,16.13,RU,2021-12-03 17:32:44
102,Upernavik,72.7868,-56.1549,15.57,83,95,7.54,GL,2021-12-03 17:32:44
103,Ambilobe,-13.2,49.05,79.79,64,25,7.65,MG,2021-12-03 17:32:45
104,Youhao,47.8667,128.8333,-9.35,98,49,2.98,CN,2021-12-03 17:32:45
105,Hasaki,35.7333,140.8333,37.8,58,0,5.03,JP,2021-12-03 17:32:45
106,Cidreira,-30.1811,-50.2056,71.01,69,49,17.52,BR,2021-12-03 17:32:46
107,Koster,-25.863,26.8976,70.88,53,68,7.63,ZA,2021-12-03 17:32:46
108,Kuantan,3.8077,103.326,75.31,88,20,4.61,MY,2021-12-03 17:32:46
109,Svatove,49.4103,38.1503,47.89,82,72,17.87,UA,2021-12-03 17:32:47
110,Chuy,-33.6971,-53.4616,69.03,67,89,11.77,UY,2021-12-03 17:32:47
111,Meybod,32.2501,54.0166,48.22,54,0,6.13,IR,2021-12-03 17:32:47
112,Biak,-0.9131,122.8766,76.75,82,91,0.92,ID,2021-12-03 17:32:48
113,Brae,60.3964,-1.353,42.71,75,63,13.06,GB,2021-12-03 17:32:48
114,De Pere,44.4489,-88.0604,37.11,91,90,1.01,US,2021-12-03 17:30:58
115,Mutuipe,-13.2286,-39.5047,79.12,86,100,3.78,BR,2021-12-03 17:32:48
116,Taoudenni,22.6783,-3.9836,72.12,12,57,10.51,ML,2021-12-03 17:32:49
117,Punta Arenas,-53.15,-70.9167,59.02,41,75,36.82,CL,2021-12-03 17:30:38
118,Vila Velha,-20.3297,-40.2925,76.95,87,75,5.99,BR,2021-12-03 17:28:27
119,Yellowknife,62.456,-114.3525,-3.59,88,90,11.5,CA,2021-12-03 17:32:49
120,Hithadhoo,-0.6,73.0833,81.32,79,30,9.55,MV,2021-12-03 17:32:49
121,Geraldton,-28.7667,114.6,64.81,82,0,9.22,AU,2021-12-03 17:27:50
122,Kabinda,-6.1333,24.4833,69.73,90,72,3.38,CD,2021-12-03 17:32:50
123,San Quintin,30.4833,-115.95,65.08,67,0,7.99,MX,2021-12-03 17:32:50
124,Avarua,-21.2078,-159.775,77.05,78,20,11.5,CK,2021-12-03 17:32:51
125,Bengkulu,-3.8004,102.2655,77.27,89,100,4.61,ID,2021-12-03 17:29:55
126,Alofi,-19.0595,-169.9187,71.49,100,85,3.44,NU,2021-12-03 17:29:55
127,Kapaa,22.0752,-159.319,73.38,86,75,3.0,US,2021-12-03 17:30:14
128,Chicama,-7.8447,-79.1469,64.94,59,92,9.37,PE,2021-12-03 17:32:51
129,Qaanaaq,77.484,-69.3632,11.82,96,100,3.11,GL,2021-12-03 17:32:51
130,Honningsvag,70.9821,25.9704,24.55,80,40,6.91,NO,2021-12-03 17:32:52
131,Lebu,-37.6167,-73.65,58.08,63,0,17.65,CL,2021-12-03 17:31:12
132,Clyde River,70.4692,-68.5914,10.63,92,97,9.22,CA,2021-12-03 17:32:52
133,Sabinopolis,-18.6661,-43.0839,75.97,79,72,5.77,BR,2021-12-03 17:32:52
134,Svetlyy,54.675,20.1347,30.25,79,97,10.78,RU,2021-12-03 17:32:53
135,Pevek,69.7008,170.3133,-0.2,92,100,22.64,RU,2021-12-03 17:33:53
136,Kuusamo,65.9667,29.1833,15.84,86,40,6.91,FI,2021-12-03 17:33:53
137,Quesnel,52.9999,-122.5029,19.9,86,40,8.05,CA,2021-12-03 17:33:54
138,Saint-Junien,45.8833,0.9,43.74,97,100,9.06,FR,2021-12-03 17:33:54
139,Kloulklubed,7.0419,134.2556,77.5,73,100,19.19,PW,2021-12-03 17:33:54
140,Pangai,-19.8,-174.35,75.31,88,75,2.3,TO,2021-12-03 17:33:55
141,Krasnyy Yar,46.5331,48.3456,40.93,89,99,11.39,RU,2021-12-03 17:33:55
142,Katsuura,35.1333,140.3,46.51,63,0,8.61,JP,2021-12-03 17:33:52
143,Ribeira Grande,38.5167,-28.7,66.6,77,75,13.8,PT,2021-12-03 17:33:55
144,Talnakh,69.4865,88.3972,-25.8,99,100,10.42,RU,2021-12-03 17:33:56
145,Evensk,61.95,159.2333,-15.2,75,71,9.24,RU,2021-12-03 17:33:56
146,Fernley,39.608,-119.2518,58.86,35,44,1.23,US,2021-12-03 17:33:56
147,Missoula,47.0166,-113.8009,32.16,78,85,3.69,US,2021-12-03 17:33:56
148,Amontada,-3.3617,-39.8317,93.6,42,79,13.13,BR,2021-12-03 17:33:57
149,Rexburg,43.826,-111.7897,49.26,76,40,4.61,US,2021-12-03 17:33:57
