City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
333,Sinnamary,GF,76.57,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
336,Bandarbeyla,SO,75.38,overcast clouds,9.4942,50.8122,JABIR HOTEL
342,Orodara,BF,69.71,scattered clouds,10.9492,-4.9342,Bkf Orodara
347,Ambagarh Chauki,IN,72.36,broken clouds,20.7833,80.7167,गाँधी चौक शांति भवन सोनसाय टोला
352,Paka,MY,75.45,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA
355,Quelimane,MZ,80.31,clear sky,-17.8786,36.8883,Hotel Flamingo
356,Maceio,BR,80.04,broken clouds,-9.6658,-35.7353,Poutur Pousada
357,Lekoni,GA,72.88,overcast clouds,-1.5843,14.2591,Rendez-vous Des ChasseursD
360,Clarence Town,AU,70.34,overcast clouds,-32.5833,151.7833,River Downs Cottage
361,Inirida,CO,72.28,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
364,Labuhan,ID,84.06,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
367,Hualmay,PE,66.43,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
370,Matara,LK,83.91,scattered clouds,5.9485,80.5353,Amaloh Boutique Resort
371,Paysandu,UY,65.01,scattered clouds,-32.3214,-58.0756,Gran Hotel Paysandú
373,Biltine,TD,72.75,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
378,Vao,NC,76.87,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
379,Yulara,AU,82.24,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
382,Isoka,ZM,65.57,clear sky,-10.1606,32.6335,Location Compound
386,Padang,ID,80.65,overcast clouds,-0.9492,100.3543,Mercure Padang
387,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
388,Kalinagar,IN,70.66,clear sky,28.6167,80.1,कार्यालय नगर पंचायत कलीनगर
392,Alofi,NU,79.38,light rain,-19.0595,-169.9187,Taloa Heights
397,Candido Mendes,BR,75.79,overcast clouds,-1.4467,-45.7167,Quebrada Do Mlk PJL
399,Sur,OM,75.27,few clouds,22.5667,59.5289,Sur Plaza Hotel
407,Charlestown,AU,70.83,overcast clouds,-32.95,151.6667,Panorama Motor Inn Hotel
409,Tolaga Bay,NZ,74.86,broken clouds,-38.3667,178.3,Tolaga Bay Motel
413,Rafaela,AR,71.06,broken clouds,-31.2503,-61.4867,Parra Hotel & Suites
415,Gizo,SB,84.38,overcast clouds,-8.103,156.8419,Imagination Island
416,Simao,CN,66.76,broken clouds,22.7886,100.9748,Changyu Hotel
423,Samana,DO,75.54,few clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
425,Itarema,BR,79.18,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
428,Andros Town,BS,71.56,scattered clouds,24.7,-77.7667,Hanks place
435,Isangel,VU,81.05,overcast clouds,-19.55,169.2667,Tanna Lodge
439,Okato,NZ,70.43,overcast clouds,-39.2,173.8833,Goodin Country Garden
441,Amuntai,ID,75.27,overcast clouds,-2.4177,115.2494,Hotel Balqis
444,Kerrville,US,66.81,mist,30.0474,-99.1403,Inn Of The Hills Hotel & Conference Center
